guid,title,description,link
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20672',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20672'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_89288',b'porringer',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_89288'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_Jersey_Heritage_JERSM_1986_00141_029',b'Blue beaded evening bag',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_Jersey_Heritage_JERSM_1986_00141_029'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC37323',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC37323'
b'https://www.europeana.eu/item/2024904/https___www_topfoto_co_uk_asset_1825673',b'Cup of tea',b'thePictureKitchen / EUFD; PHOTOCONSORTIUM',b'https://www.europeana.eu/item/2024904/https___www_topfoto_co_uk_asset_1825673'
b'https://www.europeana.eu/item/2024904/https___www_topfoto_co_uk_asset_1825675',b'Food',b'thePictureKitchen / EUFD; PHOTOCONSORTIUM',b'https://www.europeana.eu/item/2024904/https___www_topfoto_co_uk_asset_1825675'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20852',b'amulets',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20852'
b'https://www.europeana.eu/item/2048207/europeana_fashion_08063',b'camoscio blu e capretto azzurro',b'http://www.wikidata.org/entity/Q60556786; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_08063'
b'https://www.europeana.eu/item/2048207/europeana_fashion_13161',b'blue nubuck and blue embroidery',b'http://www.wikidata.org/entity/Q29017359; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_13161'
b'https://www.europeana.eu/item/2048207/europeana_fashion_13301',b'blue and blue kid',b'http://www.wikidata.org/entity/Q60556786; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_13301'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_89248',b'porringer',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_89248'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC632',b'vessels',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC632'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC38904',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC38904'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20847',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20847'
b'https://www.europeana.eu/item/2048207/europeana_fashion_08062',b'camoscio blu e capretto azzurro',b'http://www.wikidata.org/entity/Q60556786; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_08062'
b'https://www.europeana.eu/item/2048207/europeana_fashion_10442',b'blue and blue kid',b'http://www.wikidata.org/entity/Q60556786; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_10442'
b'https://www.europeana.eu/item/2048207/europeana_fashion_11825',b'blue and blue kid',b'http://www.wikidata.org/entity/Q60556786; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_11825'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_89253',b'porringer',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_89253'
b'https://www.europeana.eu/item/2048207/europeana_fashion_11826',b'blue and blue kid',b'http://www.wikidata.org/entity/Q60556786; European Fashion Heritage Association',b'https://www.europeana.eu/item/2048207/europeana_fashion_11826'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_89276',b'porringer',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_Horniman_Museum_and_Gardens_http___collections_horniman_ac_uk_objects_89276'
b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_126375',b'plate',b'CultureGrid',b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_126375'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC992',b'bead',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC992'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC705',b'vessels',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC705'
